document,meanSentenceLength,meanWordSyllables,Flesch.Kincaid,Flesch,Dale.Chall,Bormuth.GP
1145644,20.27536231884058,1.3221348582320704,7.9185826314862595,74.40289823994367,38.239687872289736,122128240.16753365
10703373,14.14569536423841,1.3698501872659177,6.091053401790809,76.58779336260139,37.872429000173625,36041848.70046455
2013135,16.096774193548388,1.3491983967935872,6.608283017648201,76.35458982481092,41.755951257353416,55940270.105295904
5307350,12.746031746031745,1.3225404732254047,4.9869299650121555,82.01085374290854,44.084441084030125,23923394.30219197
5583778,16.918937329700274,1.3637013326891332,7.100061284314879,74.29314586485357,36.629341464111675,78313697.10077496
734074,13.494623655913978,1.342629482071713,5.515931114252666,79.55150280598039,42.42576147024804,29623673.97959415
16202336,14.792857142857143,1.3510381458232739,6.121464406428917,77.52242286335105,40.30669003931848,41992678.67815841
1924782,13.845182459978124,1.3697115073864738,5.97221694655186,76.90454627822655,39.541946947179554,48961905.89104489
3983920,17.70212765957447,1.4130608974358974,7.987948376977638,69.32238850245501,33.59242294053464,78704054.93263002
4059331,14.979411764705882,1.4329471824072255,7.160747340640558,70.40356542717227,36.540703035307985,44744379.12156074
1113728,13.163934426229508,1.3661270236612701,5.6642333054324965,77.8992603556336,38.11738337790662,27835907.03731544
2694377,17.879781420765028,1.2584046454767726,6.23228957072428,82.22598885058854,42.19779189546675,77686365.44991297
5307401,11.651515151515152,1.2919375812743823,4.198954368128621,85.7107927453994,44.22443373921267,17084435.041772623
1092255,23.366666666666667,1.339514978601997,9.329276747503567,69.7948661436044,34.32493152639088,193602351.33282965
34956430,13.53066485753053,1.3054221277363844,5.090940401726247,82.66266316310839,44.06837991117334,39988917.81685748
2054250,15.726027397260275,1.236436037829766,5.133095931322746,86.27059339138263,45.59490968722939,49612100.68759773
501083,15.83125,1.4322937228582708,7.485253429727596,69.59423229619031,34.023930591196205,53394139.21321317
249610,21.261802575107296,1.3617278966491724,8.77049218475208,70.05209032974614,35.56068444279647,143266925.90941778
4998784,27.666666666666668,1.5180722891566265,13.113253012048194,50.32441767068275,24.30759036144578,330841202.29010826
21224726,17.226469643430775,1.2699623317047701,6.113878675054288,81.91132004969423,41.38712944918422,74093873.3311091
2628335,12.842696629213483,1.372703412073491,5.616551947860454,77.66895425993101,40.344138625930185,25049207.993657287
14477337,11.04,1.4520933977455717,5.850302093397747,72.78229855072466,39.93715040257649,14695256.821495047
